"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
01-Jun,173.56,220.40,215.27,181.78,126.54
02-Jun,175.62,222.41,216.73,181.98,130.57
05-Jun,173.15,219.54,213.37,180.94,127.53
06-Jun,173.15,219.16,213.00,180.76,128.02
07-Jun,175.07,220.99,214.83,182.43,130.23
08-Jun,182.04,229.28,223.64,190.98,134.34
09-Jun,179.50,225.81,220.00,187.74,133.33
12-Jun,173.84,221.41,202.86,183.35,132.88
13-Jun,172.00,217.97,200.08,180.41,133.04
14-Jun,172.69,219.24,200.95,181.55,133.05
15-Jun,175.65,222.14,203.95,184.49,136.04
16-Jun,175.05,214.62,213.99,179.90,134.96
19-Jun,175.87,214.81,214.19,180.23,136.77
20-Jun,172.62,210.23,209.61,175.59,135.96
21-Jun,169.37,206.24,205.61,171.37,134.21
22-Jun,168.54,203.27,203.67,169.93,135.26
23-Jun,164.52,197.85,198.71,165.22,132.87
26-Jun,165.89,197.36,200.34,166.67,134.64
27-Jun,166.90,199.16,202.16,168.49,134.21
28-Jun,162.42,194.41,197.43,163.78,130.15
29-Jun,161.53,193.48,197.41,163.90,127.90
30-Jun,158.47,190.86,194.67,161.12,124.26
