I-CIP
171.43
172.5
169.47
171.29
172.14
171.23
169.89
170.31
171.5
175.86
171.73
173.91
177.59
177.67
180.49
183.85
180.91
178.96
177.25
177.42
175.93
175.08
172.26
173.04
174.83
171.66
170.11
171.96
171.67
167.97
166.16
171.76
168.56
169.55
171.41
169.11
167.31
171.17
169.8
166.69
164.36
164.99
165.37
168.87
168.14
172.44
173.75
173.96
173.4
179.29
179.0
183.83
180.36
185.15
187.29
185.76
181.56
179.72
182.56
179.09
180.06
181.22
176.0
177.95
175.97
175.29
173.83
176.7
174.88
176.98
177.07
172.76
173.4
178.1
176.87
177.43
177.22
179.19
178.98
176.88
177.51
173.46
172.49
172.84
169.87
170.47
173.56
175.62
173.15
173.15
175.07
182.04
179.5
173.84
172.0
172.69
175.65
175.05
175.87
172.62
169.37
168.54
164.52
165.89
166.9
162.42
161.53
158.47
158.99
157.96
156.73
158.4
160.41
158.91
158.38
157.66
157.77
158.78
155.65
155.86
156.37
157.24
160.78
162.4
162.64
161.64
160.86
157.48
161.54
161.7
163.62
161.68
158.15
160.76
160.03
158.62
158.26
155.96
151.31
150.92
149.07
149.34
149.68
149.24
148.79
151.67
152.1
152.0
151.74
151.91
154.29
153.3
152.36
152.01
153.02
153.39
151.58
152.04
153.74
150.94
152.74
154.44
158.24
158.65
160.17
158.22
155.82
153.36
150.18
150.0
148.99
148.06
147.86
149.79
149.7
147.74
146.94
146.31
145.99
146.56
146.67
148.04
151.63
151.27
152.31
153.43
156.83
158.06
159.06
160.09
156.33
155.16
152.8
151.53
156.42
153.32
155.03
158.78
160.85
158.56
160.75
163.1
160.07
163.1
162.65
166.38
164.19
160.39
162.99
161.01
161.77
161.52
161.73
160.85
163.41
163.15
169.99
169.76
166.36
170.09
163.92
166.0
166.47
172.54
173.43
176.27
178.03
177.64
178.13
186.04
179.29
182.08
179.35
183.23
184.85
176.93
173.95
171.08
171.33
173.51
173.84
174.82
173.12
173.57
171.94
171.54
173.83
173.16
172.37
176.29
179.2
180.39
180.51
181.17
183.39
181.43
184.94
185.54
185.24
183.69
180.93
180.65
182.67
181.62
187.07
186.76
184.47
179.87
181.84
183.01
183.39
182.73
184.1
180.02
177.8
177.48
180.23
179.12
180.11
