date,I-CIP,price_standardized,price_normalized,price_diff,I-CIP_Standardised
2023-02-02,172.5,-0.48292085635013177,0.20921789913976793,1.0699999999999932,0.20921789913976796
2023-02-03,169.47,-0.5785680629237417,0.18530502722752737,-3.030000000000001,0.1853050272275274
2023-02-06,171.29,-0.5211166055098905,0.1996685344487411,1.8199999999999932,0.19966853444874122
2023-02-07,172.14,-0.4942848808935314,0.206376765843264,0.8499999999999943,0.20637676584326403
2023-02-08,171.23,-0.5230106096004571,0.19919501223265712,-0.9099999999999966,0.19919501223265712
2023-02-09,169.89,-0.5653100342897764,0.18861968274011506,-1.3400000000000034,0.1886196827401152
2023-02-10,170.31,-0.5520520056558103,0.191934338252703,0.4200000000000159,0.191934338252703
2023-02-13,171.5,-0.5144875911929073,0.20132586220503507,1.1899999999999977,0.20132586220503512
2023-02-14,175.86,-0.37685662727840535,0.23573514324047043,4.360000000000014,0.2357351432404704
2023-02-15,171.73,-0.5072272421790692,0.20314103070002357,-4.130000000000024,0.20314103070002365
2023-02-16,173.91,-0.43841176022181827,0.22034567121774123,2.180000000000007,0.22034567121774118
2023-02-17,177.59,-0.32224617600040395,0.2493883671375582,3.680000000000007,0.2493883671375583
2023-02-20,177.67,-0.3197208372129824,0.2500197300923367,0.07999999999998408,0.2500197300923368
2023-02-21,180.49,-0.2307026449563546,0.2722752742482835,2.8200000000000216,0.27227527424828346
2023-02-22,183.85,-0.1246384158846291,0.2987925183489858,3.359999999999985,0.2987925183489859
2023-02-23,180.91,-0.21744461632238923,0.2755899297608712,-2.9399999999999977,0.27558992976087127
2023-02-24,178.96,-0.27899974926580123,0.26020045773814227,-1.9499999999999886,0.26020045773814227
2023-02-27,177.25,-0.33297886584694775,0.246705074579749,-1.710000000000008,0.246705074579749
2023-02-28,177.42,-0.3276125209236763,0.24804672085865348,0.1699999999999875,0.24804672085865342
2023-03-01,175.93,-0.3746469558394113,0.23628758582590167,-1.4899999999999807,0.2362875858259017
2023-03-02,175.08,-0.40147868045577034,0.2295793544313788,-0.8499999999999943,0.2295793544313789
2023-03-03,172.26,-0.49049687271239817,0.20732381027543198,-2.8200000000000216,0.207323810275432
2023-03-06,173.04,-0.4658748195350332,0.2134795990845236,0.7800000000000011,0.21347959908452374
2023-03-07,174.83,-0.4093703641664643,0.2276063451976956,1.7900000000000205,0.22760634519769551
2023-03-08,171.66,-0.5094369136180633,0.20258858811459232,-3.170000000000016,0.20258858811459235
2023-03-09,170.11,-0.5583653526243649,0.19035593086575653,-1.549999999999983,0.19035593086575653
2023-03-10,171.96,-0.4999668931652303,0.20495619919501226,1.8499999999999943,0.20495619919501218
2023-03-13,171.67,-0.5091212462696358,0.20266750848393958,-0.29000000000002046,0.20266750848393955
2023-03-14,167.97,-0.6259181651879052,0.17346697182542808,-3.6999999999999886,0.17346697182542803
2023-03-15,166.16,-0.683053955253329,0.1591823849735616,-1.8100000000000023,0.15918238497356163
2023-03-16,171.76,-0.5062802401337859,0.20337779180806556,5.599999999999994,0.20337779180806548
2023-03-17,168.56,-0.6072937916306674,0.1781232736169205,-3.1999999999999886,0.17812327361692049
2023-03-20,169.55,-0.5760427241363194,0.1859363901823061,0.9900000000000091,0.18593639018230612
2023-03-21,171.41,-0.5173285973287572,0.20061557888090908,1.8599999999999852,0.2006155788809092
2023-03-22,169.11,-0.5899320874671405,0.18246389393102366,-2.299999999999983,0.1824638939310237
2023-03-23,167.31,-0.646752210184137,0.16825822744850444,-1.8000000000000114,0.1682582274485045
2023-03-24,171.17,-0.5249046136910237,0.19872149001657313,3.859999999999985,0.19872149001657324
2023-03-27,169.8,-0.5681510404256255,0.1879093994159893,-1.3699999999999761,0.18790939941598928
2023-03-28,166.69,-0.666323585786658,0.16336516454897002,-3.1100000000000136,0.16336516454897
2023-03-29,164.36,-0.7398740779703246,0.1449767184910426,-2.329999999999984,0.14497671849104266
2023-03-30,164.99,-0.7199870350193761,0.14994870175992425,0.6299999999999955,0.14994870175992436
2023-03-31,165.37,-0.7079916757791215,0.15294767579512272,0.37999999999999545,0.1529476757951227
2023-04-03,168.87,-0.597508103829407,0.1805698050666877,3.5,0.18056980506668774
2023-04-04,168.14,-0.6205518202646337,0.17480861810433257,-0.7300000000000182,0.17480861810433268
2023-04-05,172.44,-0.4848148604406984,0.20874437692368394,4.300000000000011,0.20874437692368386
2023-04-06,173.75,-0.4434624377966623,0.219082945308184,1.3100000000000023,0.21908294530818395
2023-04-07,173.96,-0.43683342347967913,0.22074027306447797,0.21000000000000796,0.22074027306447808
2023-04-10,173.4,-0.45451079499163355,0.21632073238102756,-0.5600000000000023,0.21632073238102767
2023-04-11,179.29,-0.2685827267676858,0.262804829926604,5.889999999999986,0.2628048299266039
2023-04-12,179.0,-0.27773707987209045,0.2605161392155315,-0.28999999999999204,0.2605161392155315
2023-04-13,183.83,-0.12526975058148404,0.2986346776102913,4.8300000000000125,0.2986346776102913
2023-04-14,180.36,-0.23480632048591527,0.2712493094467683,-3.469999999999999,0.2712493094467683
2023-04-17,185.15,-0.08360166058902048,0.3090521663641386,4.789999999999992,0.30905216636413857
2023-04-18,187.29,-0.01604884802548117,0.3259411254044668,2.1399999999999864,0.32594112540446685
2023-04-19,185.76,-0.06434595233492785,0.31386630889432554,-1.5300000000000011,0.31386630889432565
2023-04-20,181.56,-0.19692623867458492,0.28071975376844766,-4.199999999999989,0.2807197537684476
2023-04-21,179.72,-0.2550090307852921,0.26619840580853915,-1.8400000000000034,0.26619840580853915
